TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
    64       4   1.95391118e-07   1.55264935e-03  
    65       1   1.72848866e-02   5.10274421e+00  
    65       2   1.15820137e-04   7.31440666e-01  
    65       3   9.51114206e-06   5.51242607e-02  
    65       4   2.58489016e-07   3.51599078e-03  
    66       1   1.71749117e-02   5.79985111e+00  
    66       2   1.08322720e-04   1.03371503e+00  
    66       3   6.05852812e-06   3.62532309e-02  
    66       4   6.47054720e-07   1.03140461e-03  
    67       1   1.72376149e-02   5.70242886e+00  
    67       2   4.60827086e-05   9.91009735e-01  
    67       3   3.94625114e-06   1.11939370e-02  
    67       4   3.87422934e-07   5.88663426e-04  
    68       1   1.69876272e-02   6.01330948e+00  
    68       2   7.83431573e-05   4.99269785e-01  
    68       3   4.54625961e-06   3.99469311e-03  
    69       1   1.63119000e-02   6.06285898e+00  
    69       2   9.70815568e-05   6.30470216e-01  
    69       3   8.03576080e-06   1.40788310e-01  
    69       4   8.63509513e-07   2.48665078e-03  
    70       1   1.70944617e-02   6.13319020e+00  
    70       2   5.10616775e-05   2.05010579e-01  
    70       3   5.16959896e-06   6.77026870e-02  
    70       4   2.00189526e-07   1.38143795e-03  
    71       1   1.59196621e-02   5.54965450e+00  
    71       2   1.08224495e-04   6.63230930e-01  
    71       3   6.35936530e-06   1.90014186e-02  
    71       4   3.31792995e-07   6.70873842e-04  
    72       1   1.62552091e-02   6.14630529e+00  
    72       2   4.76997795e-05   8.27375751e-01  
    72       3   4.05900370e-06   5.15022453e-03  
    72       4   1.76435939e-07   2.55501186e-04  
    73       1   1.59915716e-02   6.00462684e+00  
    73       2   4.77318908e-05   4.01307650e-01  
    73       3   2.48527187e-06   8.20541440e-03  
    73       4   1.24263568e-07   1.48996455e-04  
    74       1   1.57400866e-02   5.57222788e+00  
    74       2   5.74372060e-05   8.26661569e-02  
    74       3   3.17587134e-06   4.72006202e-02  
    74       4   5.04974967e-07   6.61327774e-04  
    75       1   1.58070520e-02   5.54778559e+00  
    75       2   7.19755667e-05   1.74980772e-01  
    75       3   5.58326295e-06   3.01873946e-03  
    76       1   1.52560203e-02   4.28869487e+00  
